,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,74.19,83,100,12.5,PF,1650780222
1,Kropotkin,45.4375,40.5756,58.95,64,71,11.27,RU,1650780223
2,George Town,5.4112,100.3354,89.53,70,20,10.36,MY,1650780050
3,Sisimiut,66.9395,-53.6735,27.81,96,100,5.5,GL,1650780224
4,Teluknaga,-6.0989,106.6381,94.1,70,20,4.61,ID,1650780225
5,Salalah,17.0151,54.0924,85.77,63,21,11.39,OM,1650780226
6,Ushuaia,-54.8,-68.3,40.66,81,40,14.97,AR,1650779971
7,Sibut,5.718,19.0739,76.69,73,95,7.78,CF,1650780227
8,Tiksi,71.6872,128.8694,11.41,86,100,5.19,RU,1650780228
9,Dikson,73.5069,80.5464,8.1,89,100,14.92,RU,1650780229
10,Chokurdakh,70.6333,147.9167,5.02,92,62,2.21,RU,1650780230
11,Poum,-20.2333,164.0167,77.22,77,73,11.23,NC,1650780231
12,Mataura,-46.1927,168.8643,50.49,84,98,8.14,NZ,1650780195
13,New Norfolk,-42.7826,147.0587,67.87,49,17,2.84,AU,1650780233
14,Kūhdasht,33.535,47.6061,71.51,13,88,7.99,IR,1650780234
15,Kaitangata,-46.2817,169.8464,49.35,71,94,13.04,NZ,1650780234
16,Atuona,-9.8,-139.0333,79.21,79,43,19.01,PF,1650780235
17,Killybegs,54.6333,-8.45,43.2,84,0,9.31,IE,1650780236
18,Launceston,-41.45,147.1667,69.44,54,9,5.75,AU,1650780237
19,Samaná,19.2056,-69.3369,72.37,84,100,7.54,DO,1650780238
20,Avarua,-21.2078,-159.775,77.05,88,100,6.91,CK,1650780239
21,Livno,43.8269,17.0078,50.49,82,19,12.12,BA,1650780240
22,Aswān,24.0934,32.907,81.39,11,0,5.46,EG,1650780241
23,Mahébourg,-20.4081,57.7,79.25,71,81,18.01,MU,1650780241
24,Kapaa,22.0752,-159.319,78.78,86,33,4.0,US,1650780242
25,Mar del Plata,-38.0023,-57.5575,58.87,81,82,8.99,AR,1650780243
26,Qaanaaq,77.484,-69.3632,-5.64,76,33,8.14,GL,1650780244
27,Hermanus,-34.4187,19.2345,56.71,67,12,3.74,ZA,1650780245
28,Katete,-0.7818,29.7544,67.23,81,100,0.87,UG,1650780245
29,Vostok,46.4856,135.8833,48.27,53,84,16.08,RU,1650780246
30,Alto Araguaia,-17.3147,-53.2153,67.01,85,12,2.84,BR,1650780247
31,Saint Anthony,45.0205,-93.218,55.35,57,75,23.02,US,1650780248
32,Talcahuano,-36.7167,-73.1167,56.19,93,75,20.54,CL,1650780249
33,Hilo,19.7297,-155.09,75.27,90,67,1.01,US,1650780250
34,Kaeo,-35.1,173.7833,61.32,88,19,8.81,NZ,1650780250
35,Isangel,-19.55,169.2667,79.09,73,24,12.06,VU,1650780252
36,Aksarka,66.5606,67.7975,12.22,83,100,5.61,RU,1650780252
37,Severo-Kuril'sk,50.6789,156.125,35.31,99,100,11.56,RU,1650780253
38,Westport,41.1415,-73.3579,54.27,82,100,0.0,US,1650780254
39,Port Blair,11.6667,92.75,89.64,70,20,11.5,IN,1650780255
40,Nanortalik,60.1432,-45.2371,34.97,99,100,6.04,GL,1650780256
41,Punta Arenas,-53.15,-70.9167,41.11,93,100,4.52,CL,1650780257
42,Cidreira,-30.1811,-50.2056,57.51,73,0,6.29,BR,1650780257
43,Kutulik,53.3508,102.7839,37.9,36,100,7.36,RU,1650780258
44,Codrington,-38.2667,141.9667,61.56,64,2,13.56,AU,1650780259
45,Lavumisa,-27.31,31.892,70.63,81,18,2.66,SZ,1650780260
46,Humaitá,-7.5061,-63.0208,73.35,99,100,1.59,BR,1650780261
47,Ribeira Grande,38.5167,-28.7,58.51,68,33,20.87,PT,1650780261
48,Port Elizabeth,-33.918,25.5701,60.31,96,18,11.99,ZA,1650780262
49,Padang,-0.9492,100.3543,86.05,72,71,5.73,ID,1650780263
50,Bengkulu,-3.8004,102.2655,85.78,60,92,5.26,ID,1650780265
51,Pahrump,36.2083,-115.9839,64.49,17,17,8.99,US,1650780265
52,Maceió,-9.6658,-35.7353,76.44,88,40,2.3,BR,1650780266
53,Brainerd,46.358,-94.2008,55.35,79,46,9.66,US,1650780003
54,Lagoa,39.05,-27.9833,56.89,72,6,22.59,PT,1650780268
55,Vila Franca do Campo,37.7167,-25.4333,57.61,78,21,13.96,PT,1650780269
56,East London,-33.0153,27.9116,62.92,86,83,12.26,ZA,1650780270
57,San Patricio,28.017,-97.5169,75.83,80,80,16.75,US,1650780271
58,Assiut,27.181,31.1837,75.06,22,10,6.08,EG,1650780272
59,Hobart,-42.8794,147.3294,68.22,60,20,11.5,AU,1650780002
60,Yellowknife,62.456,-114.3525,26.56,68,11,11.99,CA,1650780273
61,Jamestown,42.097,-79.2353,63.18,53,0,6.91,US,1650780274
62,Znamenskoye,57.1281,73.8282,37.13,47,79,6.13,RU,1650780275
63,Caravelas,-17.7125,-39.2481,76.86,94,17,7.34,BR,1650780276
64,Jasper,37.2001,-94.3502,71.67,66,20,12.66,US,1650780277
65,Barrow,71.2906,-156.7887,12.22,92,100,9.22,US,1650780278
66,Cayenne,4.9333,-52.3333,77.09,1,100,2.3,GF,1650780090
67,Dhārchula,29.85,80.5333,85.28,14,0,8.75,IN,1650780279
68,Sawtell,-30.3833,153.1,71.62,53,40,14.97,AU,1650780280
69,Lata,40.1629,-8.3327,48.07,95,19,2.28,PT,1650780281
70,Puerto Ayora,-0.7393,-90.3518,71.31,92,44,6.4,EC,1650780282
71,Dunedin,-45.8742,170.5036,51.8,54,99,18.01,NZ,1650780283
72,Vila,42.0304,-8.1588,41.88,93,99,3.78,PT,1650780283
73,Nome,64.5011,-165.4064,41.07,66,100,8.05,US,1650780284
74,Lieksa,63.3167,30.0167,33.8,71,84,6.8,FI,1650780285
75,Mudhol,16.35,75.2833,95.16,27,68,8.79,IN,1650780286
76,Najrān,17.4924,44.1277,84.15,19,3,8.88,SA,1650780287
77,Salinas,36.6777,-121.6555,55.42,75,0,3.44,US,1650780287
78,Hamilton,39.1834,-84.5333,71.89,63,19,1.99,US,1650780059
79,Port Alfred,-33.5906,26.891,60.19,93,16,7.0,ZA,1650780289
80,Crossville,35.949,-85.0269,65.95,67,100,10.0,US,1650780004
81,Albany,42.6001,-73.9662,47.05,54,100,0.74,US,1650780290
82,Egvekinot,66.3167,-179.1667,19.47,93,93,0.49,RU,1650780291
83,Santa Isabel,-23.3156,-46.2214,61.43,87,1,2.06,BR,1650780292
84,Palekastro,35.2,26.25,64.22,67,0,7.14,GR,1650780293
85,Port-Cartier,50.0334,-66.8654,32.76,74,5,13.56,CA,1650780294
86,Hudiksvall,61.729,17.1036,38.64,71,36,9.4,SE,1650780294
87,Bredasdorp,-34.5322,20.0403,54.27,67,33,4.52,ZA,1650780295
88,Navahrudak,53.6,25.8333,38.77,89,97,7.49,BY,1650780297
89,Husavik,66.0449,-17.3389,41.83,80,55,1.57,IS,1650780297
90,Saskylakh,71.9167,114.0833,13.03,84,23,4.68,RU,1650780298
91,Lebu,-37.6167,-73.65,56.26,96,83,18.3,CL,1650780104
92,Mandalgovi,45.7625,106.2708,59.85,20,39,17.34,MN,1650780300
93,Brae,60.3964,-1.353,45.37,72,99,15.68,GB,1650780300
94,Krasnosel'kup,65.7,82.4667,15.22,82,99,9.44,RU,1650780301
95,Ilulissat,69.2167,-51.1,26.62,93,100,4.61,GL,1650780302
96,Vardø,70.3705,31.1107,37.81,96,100,15.1,NO,1650780303
97,Arraial do Cabo,-22.9661,-42.0278,76.35,86,1,7.72,BR,1650780270
98,Busselton,-33.65,115.3333,74.88,38,22,6.44,AU,1650780069
99,Houma,29.5958,-90.7195,73.0,87,0,8.05,US,1650780305
100,Muravlenko,63.7898,74.523,21.45,85,100,7.49,RU,1650780306
101,Coihueco,-36.6167,-71.8333,54.81,94,83,8.93,CL,1650780041
102,Kisangani,0.5167,25.2,73.08,96,83,2.48,CD,1650780307
103,Mayo,38.8876,-76.5119,58.26,81,0,5.75,US,1650780308
104,Tuktoyaktuk,69.4541,-133.0374,16.29,99,17,5.35,CA,1650780309
105,Cherskiy,68.75,161.3,21.67,87,100,5.86,RU,1650780310
106,Çermik,38.1361,39.4493,71.76,34,34,2.84,TR,1650780311
107,Thompson,55.7435,-97.8558,23.16,80,75,19.57,CA,1650780287
108,Akropong,5.9746,-0.0854,72.82,94,100,4.47,GH,1650780313
109,Kumul,42.8,93.45,79.79,12,4,4.47,CN,1650780313
110,Fortuna,40.5982,-124.1573,50.99,91,100,4.61,US,1650780315
111,Invermere,50.5167,-116.0354,37.69,84,60,1.14,CA,1650780316
112,Airai,-8.9266,125.4092,75.58,43,26,4.12,TL,1650780317
113,Bara,10.3744,10.7288,81.43,65,61,14.18,NG,1650780317
114,Taksimo,56.3444,114.8794,36.68,39,43,2.95,RU,1650780318
115,Saint Paul Harbor,57.79,-152.4072,42.31,87,100,13.8,US,1650780320
